,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
0,USA,"84,066,379",,"1,026,109 ",,"81,163,689",,"1,876,581"
1,India,"43,116,600",,"524,190 ",,"42,573,460",,"18,950"
2,Brazil,"30,639,130",,"664,700 ",,"29,703,904",,"270,526"
3,France,"29,097,570",,"147,159 ",,"28,017,247",,"933,164"
4,Germany,"25,665,910",,"137,628 ",,"23,875,700","+71,100","1,652,582"
5,UK,"22,159,615",,"176,708 ",,"21,637,872",,"345,035"
6,Russia,"18,245,394",,"377,359 ",,"17,626,344",,"241,691"
7,S. Korea,"17,727,086","+32,409","23,606 ",+52,N/A,N/A,N/A
8,Italy,"16,954,784",,"164,976 ",,"15,771,125",,"1,018,683"
9,Turkey,"15,050,227",,"98,878 ",,"14,947,920",,"3,429"
10,Spain,"12,058,888",,"105,123 ",,"11,522,364",,"431,401"
11,Vietnam,"10,690,471",,"43,063 ",,"9,334,964",,"1,312,444"
12,Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591"
13,Japan,"8,260,356","+42,378","29,974 ",+39,"7,890,937","+26,178","339,445"
14,Netherlands,"8,065,852",,"22,292 ",,"7,979,514",,"64,046"
15,Iran,"7,227,043",,"141,201 ",,"7,014,783",,"71,059"
16,Australia,"6,501,329","+51,773","7,721 ",+51,"6,081,083",,"412,525"
17,Colombia,"6,095,316",,"139,821 ",,"5,928,829",,"26,666"
18,Indonesia,"6,049,876",,"156,438 ",,"5,888,571",,"4,867"
19,Poland,"6,002,394",,"116,175 ",,"5,335,046",,"551,173"
20,Mexico,"5,745,652",,"324,465 ",,"5,044,893",,"376,294"
21,Ukraine,"5,006,460",,"108,449 ",,N/A,N/A,N/A
22,Malaysia,"4,470,471",,"35,602 ",,"4,408,043",,"26,826"
23,Thailand,"4,361,016","+7,779","29,370 ",+56,"4,255,785","+9,286","75,861"
24,Austria,"4,200,825",,"18,291 ",,"4,119,090",,"63,444"
25,Belgium,"4,102,082",,"31,580 ",,"3,926,179","+13,928","144,323"
26,Israel,"4,102,032",,"10,749 ",,"4,073,486",,"17,797"
27,Portugal,"3,935,932",,"22,420 ",,N/A,N/A,N/A
28,Czechia,"3,915,231",+521,"40,240 ",,"3,867,251",,"7,740"
29,South Africa,"3,871,085",,"100,630 ",,"3,696,731",,"73,724"
30,Canada,"3,816,490",,"40,161 ",,"3,495,236",,"281,093"
31,Philippines,"3,687,567",,"60,452 ",,"3,623,938",,"3,177"
32,Switzerland,"3,631,881",,"13,882 ",,"3,540,271","+7,221","77,728"
33,Chile,"3,591,097",,"57,680 ",,"3,458,198",,"75,219"
34,Peru,"3,571,161",,"213,000 ",,N/A,N/A,N/A
35,Greece,"3,380,594",,"29,491 ",,"3,294,451",,"56,652"
36,Denmark,"2,975,108",,"6,271 ",,"2,958,066",,"10,771"
37,Romania,"2,901,682",,"65,595 ",,N/A,N/A,N/A
38,Sweden,"2,504,894",,"18,864 ",,"2,476,511",,"9,519"
39,Iraq,"2,326,162",,"25,216 ",,"2,299,668",,"1,278"
40,Serbia,"2,011,825",,"16,042 ",,"1,985,614",,"10,169"
41,Bangladesh,"1,952,939",,"29,127 ",,"1,898,603",,"25,209"
